year_month,year,month,shop_id,item_id,qty,avg_price,avg_mrp,promo_days,stockout_days,revenue,item_category_id,brand,tier,mrp_inr,unit_cost_inr,is_perishable,item_category_name,shop_city,shop_state,shop_region,store_type,store_size_sqft,holiday_days,weekend_days,festive_days,summer_days,monsoon_days,days_in_month,promo_discount_pct,promo_uplift,promo_campaigns,avg_on_hand,avg_reorder_point,avg_lead_time,inv_snapshots,price_ratio,price_discount_pct,qty_lag_1,qty_lag_2,qty_lag_3,qty_roll_3,qty_roll_6,price_lag_1,price_change_pct,qty_trend,promo_intensity,qty_next_month,promo_flag,cost_est,profit_est,anomaly_score,is_anomaly
2024-02,2024,2,30,1092,37,2089.4566666666665,2596.23,0,0,36594.189,99,Maggi,Economy,2165.62,1937.59,0,Category 99,Ranchi,Jharkhand,East,Supermarket,34029,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.8048041454981517,0.1951958545018483,14.0,0.0,0.0,0.0,0.0,1758.13,0.1884540201681402,0.0,0.0,13.0,0,71690.83,-35096.641,-0.08285032118181035,-1
2024-02,2024,2,9,411,19,1049.89,1436.835,1,0,18405.013,45,Aashirvaad,Regular,1196.42,980.34,0,Toys & Games,Thiruvananthapuram,Kerala,South,Supermarket,19574,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.730696287325963,0.26930371267403697,10.0,6.0,10.0,8.666666666666666,7.5,1243.64,-0.1557926729955673,1.166666666666666,0.08333333333333333,9.0,1,18626.46,-221.44700000000012,-0.08261125135069747,-1
2022-02,2022,2,15,410,14,255.19,431.01,1,0,5614.18,3,Surf Excel,Premium,402.93,332.06,1,Bakery,Ranchi,Jharkhand,East,Large Format,22219,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5920744298276143,0.40792557017238573,14.0,0.0,0.0,0.0,0.0,354.32,-0.2797753435319052,0.0,0.08333333333333333,14.0,1,4648.84,965.3400000000001,-0.08253956011970365,-1
2025-11,2025,11,4,1132,17,2890.6850000000004,4047.15,1,0,24396.125999999997,91,Appy,Economy,3047.53,2682.53,0,Category 91,Amritsar,Punjab,North,Supermarket,29153,0,3,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.7142520044969918,0.2857479955030082,3.0,4.0,7.0,4.666666666666667,4.5,2996.62,-0.03535149600705061,0.16666666666666696,0.08333333333333333,3.0,1,45603.01,-21206.884000000005,-0.08220445782009222,-1
2025-02,2025,2,46,170,17,291.305,441.22,1,0,4906.1,23,Lizol,Economy,346.49,315.74,0,Pickles & Chutneys,Kolkata,West Bengal,East,Large Format,59475,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6602261910158197,0.3397738089841803,7.0,10.0,5.0,7.333333333333333,6.333333333333333,340.4,-0.14422737912976674,1.0,0.08333333333333333,4.0,1,5367.58,-461.47999999999956,-0.08220213422532252,-1
2021-02,2021,2,6,1028,14,2424.32,2627.74,0,0,12198.062999999998,79,Ariel,Regular,2608.1,2367.37,0,Shaving & Deodorants,Coimbatore,Tamil Nadu,South,Supermarket,27000,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.9225874706021145,0.07741252939788545,11.0,0.0,0.0,0.0,0.0,2219.08,0.09248877909201628,0.0,0.0,14.0,0,33143.18,-20945.117000000002,-0.08081282867558626,-1
2025-02,2025,2,11,724,24,580.835,763.45,1,0,16719.07,7,Bikaji,Economy,600.49,518.99,0,Spices & Masalas,Coimbatore,Tamil Nadu,South,Supermarket,25919,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.7608029340493812,0.23919706595061885,5.0,10.0,7.0,7.333333333333333,9.0,638.74,-0.0906550394673027,-1.666666666666667,0.08333333333333333,9.0,1,12455.76,4263.3099999999995,-0.08069765120165406,-1
2021-02,2021,2,40,956,10,180.12,335.23,1,0,1801.2,28,Nestlé,Regular,333.52,279.26,0,Personal Care,Mumbai,Maharashtra,West,Hypermarket,56118,1,3,1,3,3,12,0.0,1.0,0,30.0,21.0,10.0,1,0.5373027473674791,0.46269725263252093,9.0,0.0,0.0,0.0,0.0,268.14,-0.32826135478383917,0.0,0.08333333333333333,4.0,1,2792.6,-991.3999999999999,-0.07942762478524112,-1
2022-02,2022,2,42,293,14,271.52,447.54,1,0,3302.38,57,ITC,Regular,419.35,373.16,0,Sports & Fitness,Bhubaneswar,Odisha,East,Supermarket,39830,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6066943736872681,0.3933056263127319,7.0,12.0,0.0,0.0,0.0,384.67,-0.2941482301865282,0.0,0.08333333333333333,10.0,1,5224.240000000001,-1921.8600000000006,-0.0791509940380195,-1
2021-10,2021,10,21,1028,14,1630.14,2732.56,1,0,12198.062999999998,79,Ariel,Regular,2608.1,2367.37,0,Shaving & Deodorants,Bengaluru,Karnataka,South,Hypermarket,64803,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5965614661709167,0.40343853382908335,14.0,0.0,0.0,0.0,0.0,2337.76,-0.3026914652048579,0.0,0.08333333333333333,14.0,1,33143.18,-20945.117000000002,-0.0780993782003897,-1
2025-02,2025,2,1,1028,14,2839.69,3317.46,0,0,12198.062999999998,79,Ariel,Regular,2608.1,2367.37,0,Shaving & Deodorants,Mumbai,Maharashtra,West,Hypermarket,57472,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.8559831919601141,0.14401680803988592,14.0,14.0,14.0,14.0,0.0,2523.7,0.12520901845496346,14.0,0.0,14.0,0,33143.18,-20945.117000000002,-0.07730371146020154,-1
2024-02,2024,2,19,992,20,356.7733333333333,459.4666666666667,1,0,7215.59,45,Fortune,Regular,382.65,300.38,0,Toys & Games,Mangaluru,Karnataka,South,Supermarket,20845,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.7764944863609982,0.22350551363900184,6.0,4.0,6.0,5.333333333333333,5.333333333333333,341.53,0.04463248701051402,0.0,0.08333333333333333,11.0,1,6007.6,1207.9899999999998,-0.07719639174883197,-1
2022-02,2022,2,26,1092,14,2094.61,2315.8,0,0,12198.062999999998,99,Maggi,Economy,2165.62,1937.59,0,Category 99,Vijayawada,Andhra Pradesh,South,Supermarket,13247,1,4,1,3,3,12,0.26,2.04,1,0.0,0.0,0.0,0,0.9044865705155886,0.09551342948441144,14.0,0.0,0.0,0.0,0.0,1171.18,0.7884612093884277,0.0,0.0,26.0,0,27126.26,-14928.197,-0.07694741414995176,-1
2023-02,2023,2,30,876,13,69.14,110.49,1,0,898.82,29,Catch,Premium,97.85,87.49,0,Oral Care,Ranchi,Jharkhand,East,Supermarket,34029,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6257579871481582,0.3742420128518418,12.0,6.0,7.0,8.333333333333334,10.666666666666666,99.32,-0.30386628771781826,-2.333333333333332,0.08333333333333333,11.0,1,1137.37,-238.54999999999984,-0.07680652702916668,-1
2023-02,2023,2,46,1017,14,287.12,441.17,1,0,6890.88,22,Himalaya,Regular,390.45,344.99,0,"Sauces, Ketchup & Spreads",Kolkata,West Bengal,East,Large Format,59475,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6508148786182197,0.34918512138178026,10.0,14.0,28.0,17.333333333333332,14.5,330.63,-0.13159725332971217,2.833333333333332,0.08333333333333333,11.0,1,4829.860000000001,2061.0199999999995,-0.07645558684460863,-1
2023-12,2023,12,6,1028,39,2663.0433333333335,3094.2466666666664,0,0,36594.189,79,Ariel,Regular,2608.1,2367.37,0,Shaving & Deodorants,Coimbatore,Tamil Nadu,South,Supermarket,27000,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.8606435168926417,0.13935648310735826,14.0,14.0,27.0,18.333333333333332,16.166666666666668,2173.82,0.22505236547105142,2.1666666666666643,0.0,11.0,0,92327.43,-55733.240999999995,-0.07635380179013385,-1
2021-02,2021,2,49,1446,18,317.76,436.12,1,0,5719.68,8,Catch,Regular,433.69,363.54,0,"Sugar, Jaggery & Salt",Meerut,Uttar Pradesh,North,Supermarket,12914,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.7286068054663853,0.27139319453361466,9.0,0.0,0.0,0.0,0.0,377.75,-0.15880873551605895,0.0,0.08333333333333333,7.0,1,6543.72,-824.04,-0.07579030495940686,-1
2023-10,2023,10,3,813,5,2919.83,5119.204599999996,2,0,13927.12,84,Monster,Regular,4535.74,3810.08,0,Masks & Safety,Chandigarh,Chandigarh,North,Supermarket,16520,0,3,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.570367904420152,0.42963209557984805,1.0,0.0,0.0,0.0,0.0,3845.29,-0.24067365524039186,0.0,0.16666666666666666,1.0,1,19050.4,-5123.280000000001,-0.07535218120363751,-1
2024-12,2024,12,50,1028,28,2514.74,3280.075,0,0,24396.125999999997,79,Ariel,Regular,2608.1,2367.37,0,Shaving & Deodorants,Meerut,Uttar Pradesh,North,Supermarket,25560,0,2,2,3,3,12,0.0,1.0,0,55.0,21.0,9.0,1,0.7666714937920627,0.23332850620793733,14.0,14.0,14.0,14.0,0.0,2590.99,-0.029428905542117533,14.0,0.0,10.0,0,66286.36,-41890.234000000004,-0.07482123791555961,-1
2021-02,2021,2,1,411,14,973.36,1204.85,1,0,12198.062999999998,45,Aashirvaad,Regular,1196.42,980.34,0,Toys & Games,Mumbai,Maharashtra,West,Hypermarket,57472,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.8078681993609164,0.19213180063908364,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.08333333333333333,11.0,1,13724.76,-1526.697000000002,-0.07444946929233787,-1
2022-02,2022,2,25,813,2,2774.5,4836.37,1,0,5549.0,84,Monster,Regular,4535.74,3810.08,0,Masks & Safety,Bhubaneswar,Odisha,East,Supermarket,24232,1,4,1,3,3,12,0.0,1.0,0,45.0,21.0,7.0,1,0.5736740571957895,0.42632594280421054,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.08333333333333333,1.0,1,7620.16,-2071.16,-0.07390774530997446,-1
2023-11,2023,11,10,1084,14,811.4849999999999,1277.75,2,0,10752.57,46,Dettol,Premium,1081.85,982.32,0,Pet Care,Raipur,Chhattisgarh,Central,Supermarket,14553,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6350890236744277,0.36491097632557234,4.0,5.0,5.0,4.666666666666667,4.333333333333333,1095.5,-0.2592560472302547,0.3333333333333339,0.16666666666666666,5.0,1,13752.480000000001,-2999.9100000000017,-0.07383404882953104,-1
2023-12,2023,12,10,997,27,442.6266666666667,639.71,3,0,11792.34,67,Paper Boat,Regular,538.17,464.17,0,Batteries,Raipur,Chhattisgarh,Central,Supermarket,14553,0,4,2,3,3,12,0.0,1.0,0,92.0,21.0,6.0,1,0.6919176918707957,0.30808230812920434,7.0,2.0,6.0,5.0,0.0,517.925,-0.14538462748071365,5.0,0.25,8.0,1,12532.59,-740.25,-0.07351382413301888,-1
2023-02,2023,2,16,438,14,812.3,991.87,1,0,12198.062999999998,44,Tropicana,Premium,875.18,778.22,0,Stationery,Mumbai,Maharashtra,West,Large Format,76820,1,4,1,3,3,12,0.0,1.0,0,55.0,21.0,9.0,1,0.8189581295935959,0.18104187040640407,6.0,3.0,9.0,6.0,0.0,714.66,0.13662440861860967,6.0,0.08333333333333333,6.0,1,10895.08,1302.9829999999984,-0.07349060927492612,-1
2023-12,2023,12,38,6,14,770.85,1417.01,1,0,11562.75,67,Dabur,Regular,1194.51,947.09,0,Batteries,Chandigarh,Chandigarh,North,Supermarket,19507,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5439975723530532,0.45600242764694676,4.0,10.0,7.0,7.0,5.666666666666667,1250.21,-0.3834235845310599,1.333333333333333,0.08333333333333333,13.0,1,13259.26,-1696.5100000000002,-0.07344642284464631,-1
2024-02,2024,2,32,345,14,428.42,639.48,1,0,6426.3,8,Monster,Economy,532.82,431.87,0,"Sugar, Jaggery & Salt",Indore,Madhya Pradesh,Central,Supermarket,26766,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6699505848501908,0.33004941514980923,18.0,7.0,8.0,11.0,0.0,450.155,-0.04828336895450809,11.0,0.08333333333333333,4.0,1,6046.18,380.1199999999999,-0.07340628722221076,-1
2025-02,2025,2,47,122,14,74.77,104.1,1,0,2616.95,11,Maggi,Economy,81.87,69.46,0,Ready-to-Eat,Pune,Maharashtra,West,Hypermarket,46687,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.7182516810758885,0.28174831892411145,14.0,14.0,14.0,14.0,0.0,82.19,-0.09027862160507824,14.0,0.08333333333333333,14.0,1,972.4399999999999,1644.5099999999998,-0.07302302358793278,-1
2023-02,2023,2,28,164,5,2279.16,3808.92,1,0,11395.8,89,Pepsi,Economy,3371.04,2752.09,0,Value Packs,Meerut,Uttar Pradesh,North,Supermarket,29015,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5983743423332598,0.4016256576667402,5.0,2.0,0.0,0.0,0.0,3278.31,-0.30477593628888794,0.0,0.08333333333333333,1.0,1,13760.45,-2364.6500000000015,-0.0728787006025885,-1
2021-02,2021,2,38,761,5,4125.349199999999,5119.204599999996,1,0,12198.062999999998,89,Himalaya,Regular,6527.62,5122.02,0,Value Packs,Chandigarh,Chandigarh,North,Supermarket,19507,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.8058574568400727,0.1941425431599273,3.0,0.0,0.0,0.0,0.0,4125.349199999999,0.0,0.0,0.08333333333333333,1.0,1,25610.100000000002,-13412.037000000004,-0.07260847355715849,-1
2025-02,2025,2,38,488,8,387.95,761.39,1,0,3103.6,58,Kissan,Premium,598.49,485.62,0,Travel & Luggage,Chandigarh,Chandigarh,North,Supermarket,19507,1,4,1,3,3,12,0.0,1.0,0,78.0,21.0,12.0,1,0.5095286252774531,0.49047137472254687,7.0,8.0,5.0,6.666666666666667,4.333333333333333,540.31,-0.2819862666210392,2.333333333333334,0.08333333333333333,4.0,1,3884.96,-781.3600000000001,-0.07155918742298173,-1
2023-02,2023,2,32,1028,14,2546.87,2945.94,0,0,12198.062999999998,79,Ariel,Regular,2608.1,2367.37,0,Shaving & Deodorants,Indore,Madhya Pradesh,Central,Supermarket,26766,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.8645355981452439,0.13546440185475606,14.0,13.0,13.0,13.333333333333334,0.0,2612.27,-0.025035696913016034,13.333333333333334,0.0,10.0,0,33143.18,-20945.117000000002,-0.07139224898847585,-1
2022-12,2022,12,19,74,10,1792.8,3190.92,1,0,12198.062999999998,91,Nestlé,Economy,2846.26,2368.44,0,Category 91,Mangaluru,Karnataka,South,Supermarket,20845,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5618442330111691,0.43815576698883085,7.0,3.0,0.0,0.0,0.0,2574.01,-0.30349920928687185,0.0,0.08333333333333333,6.0,1,23684.4,-11486.337000000003,-0.07085310212023765,-1
2023-11,2023,11,34,695,9,3880.15,5119.204599999996,1,0,24396.125999999997,81,Monster,Regular,4399.98,3776.46,0,Home Décor,Faridabad,Haryana,North,Supermarket,34893,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.7579595470749504,0.2420404529250496,2.0,2.0,1.0,1.6666666666666667,2.6666666666666665,3615.03,0.07333825720026159,-0.9999999999999998,0.08333333333333333,4.0,1,33988.14,-9592.014000000003,-0.07030529012284958,-1
2024-02,2024,2,42,1453,4,2445.16,4091.98,1,0,9780.64,87,Himalaya,Regular,3413.84,2721.29,0,Kids Snacks,Bhubaneswar,Odisha,East,Supermarket,39830,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5975493526361321,0.40245064736386793,2.0,2.0,1.0,1.6666666666666667,0.0,2849.97,-0.14204009160024839,1.6666666666666667,0.08333333333333333,1.0,1,10885.16,-1104.5200000000004,-0.07025078882649127,-1
2021-10,2021,10,1,710,11,2728.735,3163.45,1,0,24396.125999999997,79,Fortune,Regular,3023.47,2591.51,0,Shaving & Deodorants,Mumbai,Maharashtra,West,Hypermarket,57472,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.862581991180515,0.13741800881948496,5.0,2.0,0.0,0.0,0.0,2414.54,0.13012623517103628,0.0,0.08333333333333333,1.0,1,28506.61,-4110.484000000004,-0.06995214322670351,-1
2023-12,2023,12,5,74,11,2775.286666666667,3384.353333333334,1,0,30268.39,91,Nestlé,Economy,2846.26,2368.44,0,Category 91,Mumbai,Maharashtra,West,Large Format,79257,0,4,2,3,3,12,0.0,1.0,0,105.0,21.0,9.0,1,0.8200345511599458,0.17996544884005417,7.0,7.0,3.0,5.666666666666667,0.0,2863.68,-0.030867042861795292,5.666666666666667,0.08333333333333333,6.0,1,26052.84,4215.549999999999,-0.06923743851505648,-1
2022-02,2022,2,1,1132,14,2688.48,3252.2899999999995,0,0,27078.765999999996,91,Appy,Economy,3047.53,2682.53,0,Category 91,Mumbai,Maharashtra,West,Hypermarket,57472,1,4,1,3,3,12,0.0,1.0,0,67.0,21.0,7.0,1,0.8266421506077257,0.17335784939227428,5.0,6.0,6.0,5.666666666666667,0.0,1933.97,0.3901353173057827,5.666666666666667,0.0,11.0,0,37555.420000000006,-10476.65400000001,-0.06895213321608573,-1
2022-02,2022,2,44,369,14,36.87,50.22,1,0,1184.37,29,Lifebuoy,Economy,47.03,39.14,0,Oral Care,Indore,Madhya Pradesh,Central,Supermarket,14529,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.7341696535244921,0.26583034647550785,14.0,14.0,0.0,0.0,0.0,36.93,-0.0016246953256243422,0.0,0.08333333333333333,14.0,1,547.96,636.4099999999999,-0.06834528657736005,-1
2021-02,2021,2,39,1364,1,3191.89,4883.78,1,0,3191.89,84,Harpic,Economy,4853.47,4214.21,0,Masks & Safety,Visakhapatnam,Andhra Pradesh,South,Large Format,16785,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6535695711109019,0.34643042888909814,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.08333333333333333,2.0,1,4214.21,-1022.3200000000002,-0.06814201399520226,-1
2023-12,2023,12,23,1028,14,2804.16,3090.95,0,0,12198.062999999998,79,Ariel,Regular,2608.1,2367.37,0,Shaving & Deodorants,Meerut,Uttar Pradesh,North,Large Format,44804,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.9072162280205115,0.0927837719794885,14.0,14.0,28.0,18.666666666666668,16.333333333333332,2202.53,0.2731540545313097,2.3333333333333357,0.0,14.0,0,33143.18,-20945.117000000002,-0.06812486032878984,-1
2024-02,2024,2,36,1244,9,459.53,807.24,1,0,4135.77,43,Lifebuoy,Regular,671.42,581.69,0,Disposable & Foils,Lucknow,Uttar Pradesh,North,Large Format,34779,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.569260690748724,0.430739309251276,5.0,3.0,12.0,6.666666666666667,0.0,611.91,-0.24902354880779273,6.666666666666667,0.08333333333333333,7.0,1,5235.210000000001,-1099.4400000000005,-0.06803947933097909,-1
2021-10,2021,10,33,248,14,838.5,1452.92,1,0,12198.062999999998,96,Amul,Regular,1389.63,1197.76,0,Category 96,Ludhiana,Punjab,North,Large Format,34676,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5771136745312887,0.4228863254687113,14.0,14.0,28.0,18.666666666666668,0.0,1358.64,-0.38283872079223435,18.666666666666668,0.08333333333333333,14.0,1,16768.64,-4570.577000000001,-0.06777568938272549,-1
2024-11,2024,11,32,1092,14,1857.93,2713.61,1,0,12198.062999999998,99,Maggi,Economy,2165.62,1937.59,0,Category 99,Indore,Madhya Pradesh,Central,Supermarket,26766,0,3,2,3,3,12,0.0,1.0,0,11.0,21.0,8.0,1,0.6846709733528399,0.3153290266471601,14.0,12.0,12.0,12.666666666666666,12.0,2388.29,-0.22206683433667315,0.6666666666666661,0.08333333333333333,14.0,1,27126.26,-14928.197,-0.06773777693261218,-1
2024-10,2024,10,45,829,14,51.44,98.81,1,0,3086.4,11,Dabur,Premium,79.2,62.55,0,Ready-to-Eat,Ludhiana,Punjab,North,Large Format,42237,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5205950814694869,0.47940491853051315,14.0,14.0,14.0,14.0,16.333333333333332,67.74,-0.24062591909321052,-2.333333333333332,0.08333333333333333,14.0,1,875.6999999999999,2210.7000000000003,-0.06764189172216517,-1
2023-11,2023,11,33,248,14,965.08,1639.03,1,0,12198.062999999998,96,Amul,Regular,1389.63,1197.76,0,Category 96,Ludhiana,Punjab,North,Large Format,34676,0,4,2,3,3,12,0.0,1.0,0,96.0,21.0,5.0,1,0.5888116751981355,0.4111883248018645,14.0,14.0,14.0,14.0,14.0,1257.46,-0.23251634228324053,0.0,0.08333333333333333,26.0,1,16768.64,-4570.577000000001,-0.06675624380079848,-1
2021-11,2021,11,40,1446,41,399.00666666666666,456.4466666666667,1,0,19719.92,8,Catch,Regular,433.69,363.54,0,"Sugar, Jaggery & Salt",Mumbai,Maharashtra,West,Hypermarket,56118,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.8741583536594271,0.12584164634057293,7.0,5.0,14.0,8.666666666666666,0.0,411.67,-0.030760884452528652,8.666666666666666,0.08333333333333333,12.0,1,14905.140000000001,4814.779999999997,-0.06660672679836321,-1
2021-11,2021,11,49,876,14,53.84,102.73,1,0,1022.96,29,Catch,Premium,97.85,87.49,0,Oral Care,Meerut,Uttar Pradesh,North,Supermarket,12914,0,4,2,3,3,12,0.0,1.0,0,48.5,21.0,11.0,2,0.5240922807359096,0.47590771926409037,23.0,4.0,10.0,12.333333333333334,0.0,69.595,-0.22638120229353825,12.333333333333334,0.08333333333333333,12.0,1,1224.86,-201.89999999999986,-0.06645502441830398,-1
2022-02,2022,2,10,1027,13,83.2,120.16,1,0,1081.6,20,Surf Excel,Economy,112.53,102.95,0,Breakfast Cereals,Raipur,Chhattisgarh,Central,Supermarket,14553,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6924101198402131,0.30758988015978694,9.0,13.0,13.0,11.666666666666666,0.0,100.33,-0.17073656761948997,11.666666666666666,0.08333333333333333,14.0,1,1338.3500000000001,-256.7500000000002,-0.06638496612459188,-1
