promo_id,start_date,end_date,shop_id,item_category_id,promo_type,promo_channel,discount_pct,demand_uplift_mult
67,2023-04-03,2023-04-06,2,50,Clearance,In-Store,0.07,2.2
68,2022-06-24,2022-06-30,36,11,Weekend Saver,In-Store,0.09,1.3
69,2022-06-07,2022-06-15,13,23,Category Discount,Billboard,0.26,2.1
70,2021-12-04,2021-12-06,50,46,Weekend Saver,In-Store,0.14,1.68
71,2024-11-15,2024-11-19,22,48,Clearance,In-Store,0.14,1.52
72,2023-11-15,2023-11-22,8,22,Weekend Saver,In-Store,0.18,1.16
73,2022-07-31,2022-08-05,16,28,Category Discount,In-Store,0.22,1.55
74,2025-03-22,2025-03-29,30,98,Category Discount,App Notification,0.07,1.33
75,2022-06-01,2022-06-03,14,47,Clearance,In-Store,0.28,1.13
76,2024-09-08,2024-09-16,17,3,Festive Mega Sale,In-Store,0.32,1.53
77,2024-11-15,2024-11-21,16,90,Weekend Saver,In-Store,0.14,2.11
78,2021-10-05,2021-10-10,29,11,Price Drop,Flyer,0.12,1.92
79,2025-06-21,2025-06-23,36,46,Category Discount,Billboard,0.11,1.17
80,2024-11-03,2024-11-11,15,50,Weekend Saver,WhatsApp,0.06,1.14
81,2025-03-30,2025-04-04,34,17,Price Drop,Billboard,0.06,1.34
82,2023-03-16,2023-03-24,22,14,Category Discount,WhatsApp,0.13,1.97
83,2022-04-26,2022-05-04,12,68,Buy X Get Y,In-Store,0.14,1.29
84,2025-12-24,2025-12-28,23,42,Weekend Saver,Flyer,0.14,1.16
85,2023-09-26,2023-09-28,46,97,Weekend Saver,In-Store,0.25,1.77
86,2025-06-21,2025-06-24,17,52,Festive Mega Sale,In-Store,0.2,1.35
87,2024-10-16,2024-10-20,2,14,Weekend Saver,App Notification,0.26,1.51
88,2024-08-08,2024-08-10,5,90,Weekend Saver,Flyer,0.06,1.6
89,2024-04-09,2024-04-15,13,47,Buy X Get Y,App Notification,0.27,2.05
90,2021-01-12,2021-01-20,45,15,Festive Mega Sale,In-Store,0.23,2.06
91,2025-04-12,2025-04-14,4,44,Category Discount,In-Store,0.07,1.63
92,2024-01-06,2024-01-10,13,70,Category Discount,WhatsApp,0.34,1.97
93,2024-03-30,2024-04-01,50,55,Price Drop,In-Store,0.32,1.99
94,2022-01-31,2022-02-06,12,2,Price Drop,WhatsApp,0.27,1.7
95,2024-04-29,2024-05-06,22,8,Category Discount,In-Store,0.16,1.78
96,2021-02-08,2021-02-12,20,16,Weekend Saver,In-Store,0.29,1.99
97,2022-01-22,2022-01-25,4,99,Category Discount,Flyer,0.33,1.18
98,2023-06-17,2023-06-22,39,27,Weekend Saver,In-Store,0.17,1.84
99,2021-06-22,2021-06-24,14,5,Buy X Get Y,In-Store,0.09,2.03
100,2022-08-09,2022-08-17,14,96,Combo Offer,In-Store,0.24,2.19
101,2021-12-08,2021-12-10,26,90,Clearance,In-Store,0.28,1.17
102,2025-02-21,2025-02-23,41,95,Combo Offer,App Notification,0.16,1.96
103,2025-09-07,2025-09-09,20,98,Price Drop,In-Store,0.15,1.61
104,2022-03-13,2022-03-19,6,95,Combo Offer,Flyer,0.22,1.83
105,2023-04-09,2023-04-15,7,37,Weekend Saver,WhatsApp,0.24,1.8
106,2025-06-21,2025-06-27,26,63,Festive Mega Sale,In-Store,0.23,1.52
107,2023-02-06,2023-02-13,21,30,Festive Mega Sale,WhatsApp,0.33,1.53
108,2025-11-08,2025-11-15,49,34,Combo Offer,Billboard,0.12,1.55
109,2023-12-29,2024-01-06,25,9,Price Drop,WhatsApp,0.16,1.86
110,2021-10-13,2021-10-21,47,80,Festive Mega Sale,Billboard,0.1,1.64
111,2021-08-30,2021-09-01,18,55,Price Drop,In-Store,0.15,2.14
112,2024-12-27,2025-01-02,11,67,Festive Mega Sale,In-Store,0.33,2.02
113,2025-01-23,2025-01-30,34,67,Category Discount,WhatsApp,0.13,1.21
114,2021-04-22,2021-04-25,42,71,Festive Mega Sale,Flyer,0.24,2.14
115,2021-11-17,2021-11-20,21,18,Weekend Saver,In-Store,0.31,1.87
116,2023-03-27,2023-03-30,6,56,Weekend Saver,In-Store,0.22,2.02
117,2021-05-08,2021-05-10,8,88,Clearance,In-Store,0.3,1.28
118,2024-02-02,2024-02-07,38,92,Combo Offer,In-Store,0.29,1.16
119,2023-09-15,2023-09-17,44,83,Category Discount,WhatsApp,0.13,1.95
120,2024-08-04,2024-08-06,19,83,Festive Mega Sale,In-Store,0.2,1.21
121,2022-08-04,2022-08-09,13,58,Weekend Saver,WhatsApp,0.22,1.89
122,2024-06-04,2024-06-07,20,36,Buy X Get Y,In-Store,0.11,1.23
123,2025-06-13,2025-06-15,39,78,Price Drop,In-Store,0.33,2.11
124,2025-01-30,2025-02-01,38,30,Festive Mega Sale,Flyer,0.34,1.36
125,2022-07-01,2022-07-03,4,2,Price Drop,WhatsApp,0.24,1.8
126,2024-10-11,2024-10-18,3,94,Price Drop,WhatsApp,0.24,1.4
127,2021-12-20,2021-12-26,30,15,Combo Offer,In-Store,0.24,2.16
128,2021-03-14,2021-03-16,19,28,Combo Offer,WhatsApp,0.16,1.71
129,2023-09-09,2023-09-17,12,30,Price Drop,In-Store,0.11,1.77
130,2022-05-06,2022-05-12,22,42,Price Drop,WhatsApp,0.23,1.92
131,2024-10-04,2024-10-07,23,58,Category Discount,In-Store,0.21,1.72
132,2024-07-27,2024-08-03,37,92,Weekend Saver,Flyer,0.27,2.02
133,2021-12-15,2021-12-19,24,30,Weekend Saver,WhatsApp,0.12,1.24
134,2023-12-31,2024-01-05,48,7,Combo Offer,App Notification,0.24,2.07
135,2021-11-06,2021-11-08,21,61,Price Drop,WhatsApp,0.28,1.4
136,2023-04-16,2023-04-24,4,53,Combo Offer,WhatsApp,0.35,1.21
137,2021-08-02,2021-08-05,46,71,Weekend Saver,In-Store,0.2,1.48
138,2021-10-04,2021-10-09,11,57,Festive Mega Sale,App Notification,0.05,2.02
139,2023-03-12,2023-03-18,11,72,Category Discount,WhatsApp,0.09,1.68
140,2025-10-23,2025-10-27,49,8,Category Discount,WhatsApp,0.19,1.3
141,2021-11-30,2021-12-02,12,94,Category Discount,In-Store,0.16,1.84
142,2021-02-13,2021-02-21,16,100,Weekend Saver,WhatsApp,0.08,2.07
143,2022-07-22,2022-07-24,14,58,Clearance,In-Store,0.11,1.35
144,2023-03-24,2023-03-29,10,86,Weekend Saver,In-Store,0.15,1.49
145,2025-03-14,2025-03-18,13,66,Category Discount,In-Store,0.18,1.61
146,2024-05-31,2024-06-02,9,35,Weekend Saver,In-Store,0.3,1.85
147,2025-01-28,2025-02-02,6,53,Category Discount,In-Store,0.11,1.74
148,2023-12-23,2023-12-25,3,9,Festive Mega Sale,In-Store,0.25,1.23
149,2025-10-08,2025-10-12,9,78,Category Discount,In-Store,0.09,1.93
150,2024-04-21,2024-04-28,44,49,Combo Offer,WhatsApp,0.31,1.68
151,2022-06-28,2022-07-04,28,50,Clearance,WhatsApp,0.13,2.06
152,2022-08-18,2022-08-22,10,78,Price Drop,In-Store,0.3,2.04
153,2023-11-09,2023-11-13,35,9,Category Discount,In-Store,0.1,2.13
154,2024-11-21,2024-11-26,12,49,Combo Offer,WhatsApp,0.19,1.47
155,2022-03-02,2022-03-10,8,91,Buy X Get Y,In-Store,0.21,1.3
156,2025-04-01,2025-04-07,46,84,Combo Offer,In-Store,0.06,1.71
157,2025-11-04,2025-11-06,7,71,Category Discount,WhatsApp,0.2,1.23
158,2024-12-31,2025-01-03,13,65,Weekend Saver,In-Store,0.07,1.63
159,2023-09-12,2023-09-19,41,52,Weekend Saver,In-Store,0.32,1.32
160,2025-11-26,2025-11-30,20,7,Category Discount,In-Store,0.2,1.55
161,2023-01-03,2023-01-10,10,80,Weekend Saver,WhatsApp,0.25,1.58
162,2024-07-19,2024-07-26,17,57,Clearance,In-Store,0.22,1.74
163,2023-12-19,2023-12-21,5,45,Combo Offer,App Notification,0.21,1.96
164,2025-11-22,2025-11-24,13,9,Festive Mega Sale,In-Store,0.22,1.44
165,2024-11-19,2024-11-27,46,73,Buy X Get Y,WhatsApp,0.07,1.15
166,2021-04-27,2021-04-29,17,5,Category Discount,In-Store,0.26,2.04
167,2022-08-17,2022-08-20,3,23,Buy X Get Y,In-Store,0.32,1.37
168,2025-11-22,2025-11-28,5,48,Category Discount,In-Store,0.31,2.12
169,2024-01-17,2024-01-19,14,87,Buy X Get Y,In-Store,0.17,1.77
170,2024-04-23,2024-04-26,19,58,Category Discount,WhatsApp,0.12,1.54
171,2025-07-01,2025-07-06,4,78,Buy X Get Y,App Notification,0.06,1.83
172,2021-06-18,2021-06-23,47,5,Category Discount,In-Store,0.33,1.4
173,2024-03-25,2024-03-30,15,57,Category Discount,In-Store,0.2,1.14
174,2022-04-01,2022-04-05,16,26,Clearance,WhatsApp,0.1,1.18
175,2023-09-06,2023-09-14,11,85,Price Drop,In-Store,0.22,1.15
176,2022-01-29,2022-02-05,17,59,Weekend Saver,In-Store,0.27,1.79
177,2024-12-26,2024-12-28,35,43,Clearance,In-Store,0.26,1.45
178,2025-06-26,2025-07-04,46,83,Combo Offer,In-Store,0.18,1.26
179,2023-09-12,2023-09-14,33,11,Clearance,In-Store,0.27,1.3
180,2025-10-23,2025-10-31,41,96,Combo Offer,In-Store,0.28,1.17
181,2022-12-28,2023-01-03,42,40,Combo Offer,WhatsApp,0.28,1.34
182,2025-06-15,2025-06-18,14,32,Weekend Saver,WhatsApp,0.15,1.81
183,2023-07-27,2023-07-29,33,74,Weekend Saver,Billboard,0.15,1.39
184,2021-07-29,2021-08-02,21,60,Combo Offer,Billboard,0.18,1.55
185,2025-06-17,2025-06-23,32,29,Category Discount,In-Store,0.16,2.16
186,2023-05-30,2023-06-07,24,17,Combo Offer,In-Store,0.22,1.48
187,2022-09-04,2022-09-10,27,13,Weekend Saver,In-Store,0.13,1.56
188,2023-05-23,2023-05-30,48,30,Weekend Saver,In-Store,0.15,1.57
189,2021-01-16,2021-01-19,12,24,Combo Offer,In-Store,0.28,1.76
190,2022-02-01,2022-02-09,5,45,Festive Mega Sale,Flyer,0.11,1.12
191,2024-07-10,2024-07-18,27,58,Weekend Saver,In-Store,0.09,1.36
192,2025-12-06,2025-12-08,5,67,Price Drop,Flyer,0.17,1.39
193,2024-10-17,2024-10-23,1,21,Combo Offer,In-Store,0.18,1.29
194,2025-11-16,2025-11-19,44,17,Weekend Saver,In-Store,0.35,1.17
195,2025-01-17,2025-01-23,44,46,Festive Mega Sale,In-Store,0.22,1.44
196,2025-03-18,2025-03-23,47,88,Category Discount,In-Store,0.31,1.71
197,2022-07-22,2022-07-30,29,7,Category Discount,In-Store,0.16,1.3
198,2023-12-01,2023-12-06,49,17,Clearance,App Notification,0.29,1.42
199,2023-11-17,2023-11-22,37,96,Weekend Saver,WhatsApp,0.09,1.47
200,2023-04-24,2023-04-27,30,63,Price Drop,Flyer,0.1,1.34
201,2024-06-18,2024-06-25,50,10,Festive Mega Sale,In-Store,0.24,1.76
202,2021-07-13,2021-07-20,46,44,Festive Mega Sale,In-Store,0.32,2.14
203,2021-12-22,2021-12-24,30,46,Festive Mega Sale,WhatsApp,0.17,1.98
204,2023-01-08,2023-01-15,48,62,Category Discount,In-Store,0.2,1.29
205,2024-10-17,2024-10-19,40,43,Clearance,In-Store,0.25,2.2
206,2022-12-22,2022-12-26,12,6,Price Drop,In-Store,0.12,1.42
207,2021-07-04,2021-07-06,47,45,Combo Offer,In-Store,0.07,1.19
208,2024-09-22,2024-09-29,10,24,Combo Offer,In-Store,0.26,1.52
209,2024-01-30,2024-02-01,22,23,Buy X Get Y,In-Store,0.06,1.72
210,2022-05-26,2022-06-01,33,26,Price Drop,WhatsApp,0.09,1.49
211,2025-10-31,2025-11-06,12,84,Category Discount,WhatsApp,0.32,1.15
212,2024-05-08,2024-05-16,37,40,Category Discount,WhatsApp,0.09,2.01
213,2024-07-06,2024-07-08,2,92,Buy X Get Y,WhatsApp,0.07,1.5
214,2022-08-31,2022-09-06,21,77,Category Discount,In-Store,0.18,1.69
215,2021-12-14,2021-12-16,17,96,Price Drop,Billboard,0.32,2.01
216,2022-11-11,2022-11-13,19,42,Weekend Saver,Flyer,0.14,1.13
217,2021-10-14,2021-10-16,15,4,Price Drop,In-Store,0.26,1.99
218,2022-11-02,2022-11-05,40,19,Category Discount,In-Store,0.11,1.95
219,2025-10-28,2025-11-04,36,94,Category Discount,In-Store,0.18,2.08
220,2021-07-17,2021-07-19,18,3,Weekend Saver,Flyer,0.27,1.43
221,2022-12-06,2022-12-13,32,18,Weekend Saver,In-Store,0.24,1.18
222,2025-12-29,2026-01-04,44,40,Category Discount,Flyer,0.32,1.1
223,2021-10-31,2021-11-05,30,23,Category Discount,In-Store,0.33,1.26
224,2024-03-28,2024-04-02,36,70,Price Drop,App Notification,0.17,2.1
225,2023-01-02,2023-01-04,11,35,Price Drop,In-Store,0.24,1.72
226,2024-01-24,2024-01-27,24,89,Buy X Get Y,App Notification,0.29,1.44
227,2024-04-05,2024-04-08,3,61,Festive Mega Sale,In-Store,0.21,1.99
228,2025-04-04,2025-04-07,9,40,Weekend Saver,Flyer,0.13,1.3
229,2023-03-21,2023-03-27,12,77,Festive Mega Sale,In-Store,0.13,1.28
230,2023-03-05,2023-03-11,27,2,Festive Mega Sale,In-Store,0.07,1.56
231,2022-08-19,2022-08-22,20,90,Festive Mega Sale,Flyer,0.16,1.57
232,2024-03-06,2024-03-13,47,3,Category Discount,In-Store,0.34,1.42
233,2022-10-04,2022-10-07,2,60,Festive Mega Sale,In-Store,0.16,2.06
234,2022-03-04,2022-03-08,22,91,Category Discount,Billboard,0.22,1.65
235,2023-03-30,2023-04-03,9,96,Category Discount,Flyer,0.07,2.17
236,2024-02-24,2024-03-02,25,36,Weekend Saver,In-Store,0.17,1.49
237,2024-09-17,2024-09-22,8,64,Weekend Saver,App Notification,0.1,1.84
238,2024-10-14,2024-10-17,44,21,Category Discount,WhatsApp,0.25,1.32
239,2021-04-05,2021-04-12,41,21,Festive Mega Sale,Billboard,0.07,1.93
240,2021-07-21,2021-07-23,26,8,Clearance,In-Store,0.22,1.11
241,2022-01-29,2022-02-03,49,95,Buy X Get Y,App Notification,0.16,2.13
242,2022-08-18,2022-08-26,48,80,Festive Mega Sale,WhatsApp,0.24,1.49
243,2021-12-02,2021-12-07,40,55,Clearance,In-Store,0.26,2.05
244,2024-05-15,2024-05-19,41,59,Price Drop,In-Store,0.09,1.84
245,2025-03-25,2025-03-28,32,92,Price Drop,In-Store,0.32,1.7
246,2024-12-02,2024-12-06,49,75,Category Discount,WhatsApp,0.21,1.8
247,2021-08-18,2021-08-23,42,79,Weekend Saver,WhatsApp,0.35,1.58
248,2025-09-08,2025-09-13,21,49,Clearance,Flyer,0.23,2.03
249,2024-02-29,2024-03-08,30,38,Buy X Get Y,In-Store,0.17,2.11
250,2021-06-23,2021-07-01,41,20,Price Drop,Billboard,0.17,2.16
251,2023-08-09,2023-08-16,20,60,Festive Mega Sale,In-Store,0.23,1.94
252,2025-01-24,2025-01-27,29,32,Combo Offer,In-Store,0.34,1.91
253,2025-01-07,2025-01-14,39,30,Price Drop,In-Store,0.31,1.91
254,2022-03-01,2022-03-03,47,23,Combo Offer,WhatsApp,0.19,1.87
255,2025-07-03,2025-07-10,5,56,Weekend Saver,In-Store,0.1,1.5
256,2025-11-22,2025-11-27,35,36,Weekend Saver,In-Store,0.32,1.61
257,2024-11-02,2024-11-05,6,51,Combo Offer,In-Store,0.22,1.52
258,2024-02-18,2024-02-23,1,49,Weekend Saver,In-Store,0.31,1.81
259,2023-07-10,2023-07-14,10,45,Festive Mega Sale,App Notification,0.13,1.21
260,2024-02-27,2024-03-02,12,1,Price Drop,In-Store,0.33,1.14
261,2025-04-12,2025-04-15,23,22,Festive Mega Sale,Billboard,0.23,2.1
262,2022-12-29,2023-01-02,29,37,Category Discount,WhatsApp,0.19,1.56
263,2022-08-03,2022-08-08,24,29,Category Discount,In-Store,0.18,1.23
264,2023-05-14,2023-05-19,39,6,Clearance,In-Store,0.32,1.31
265,2025-10-13,2025-10-20,17,36,Festive Mega Sale,Flyer,0.3,1.38
266,2023-12-09,2023-12-17,21,39,Buy X Get Y,In-Store,0.28,1.38
267,2024-03-11,2024-03-17,30,28,Category Discount,In-Store,0.05,1.24
268,2023-01-29,2023-01-31,42,17,Price Drop,In-Store,0.15,1.67
269,2025-12-13,2025-12-16,25,62,Buy X Get Y,Flyer,0.24,1.39
270,2021-03-04,2021-03-11,27,80,Category Discount,In-Store,0.08,1.15
271,2022-12-25,2022-12-30,26,22,Category Discount,App Notification,0.1,1.22
272,2021-03-20,2021-03-27,17,95,Festive Mega Sale,App Notification,0.21,1.65
273,2021-07-30,2021-08-05,37,38,Festive Mega Sale,In-Store,0.19,1.82
274,2023-03-16,2023-03-18,6,77,Festive Mega Sale,In-Store,0.21,1.48
275,2024-09-08,2024-09-16,38,3,Price Drop,Flyer,0.12,2.11
276,2025-06-06,2025-06-10,41,18,Price Drop,In-Store,0.22,1.72
277,2025-07-25,2025-07-29,42,27,Price Drop,WhatsApp,0.23,1.66
278,2024-09-12,2024-09-20,50,4,Price Drop,Flyer,0.1,1.51
279,2022-09-24,2022-10-01,8,34,Category Discount,Billboard,0.06,1.75
280,2022-12-05,2022-12-13,43,57,Price Drop,Flyer,0.13,1.7
281,2022-12-07,2022-12-15,13,19,Weekend Saver,In-Store,0.15,1.1
282,2022-07-04,2022-07-06,10,39,Weekend Saver,In-Store,0.07,2.14
283,2023-09-12,2023-09-20,6,47,Buy X Get Y,In-Store,0.21,1.57
284,2024-12-16,2024-12-23,13,27,Price Drop,In-Store,0.33,1.18
285,2023-03-13,2023-03-18,49,57,Category Discount,In-Store,0.19,1.21
286,2023-09-11,2023-09-14,43,25,Category Discount,In-Store,0.06,1.15
287,2022-07-26,2022-07-31,17,75,Category Discount,In-Store,0.15,2.05
288,2025-02-08,2025-02-16,2,83,Festive Mega Sale,In-Store,0.31,1.7
289,2022-05-02,2022-05-06,3,99,Festive Mega Sale,In-Store,0.18,1.76
290,2021-03-18,2021-03-23,49,85,Category Discount,Flyer,0.31,1.92
291,2025-05-12,2025-05-19,49,66,Price Drop,App Notification,0.2,1.95
292,2023-11-28,2023-12-05,46,93,Category Discount,Flyer,0.28,1.51
293,2023-07-12,2023-07-16,37,98,Price Drop,Billboard,0.12,1.69
294,2021-03-30,2021-04-05,31,13,Combo Offer,App Notification,0.12,1.82
295,2025-03-31,2025-04-02,41,79,Category Discount,Flyer,0.15,1.58
296,2021-01-22,2021-01-30,23,68,Category Discount,In-Store,0.2,2.05
297,2023-01-03,2023-01-11,27,53,Price Drop,App Notification,0.21,2.15
298,2021-12-22,2021-12-29,24,71,Weekend Saver,In-Store,0.26,1.86
299,2025-03-16,2025-03-22,9,87,Category Discount,Flyer,0.26,1.65
300,2025-09-26,2025-10-03,9,2,Combo Offer,In-Store,0.16,1.15
301,2022-04-21,2022-04-24,20,11,Combo Offer,Flyer,0.24,1.4
302,2021-08-17,2021-08-21,5,64,Price Drop,In-Store,0.17,1.82
303,2021-03-17,2021-03-24,3,24,Category Discount,Flyer,0.32,2.15
304,2023-05-20,2023-05-25,3,88,Festive Mega Sale,App Notification,0.3,1.41
305,2025-07-01,2025-07-08,41,72,Combo Offer,In-Store,0.13,1.76
306,2022-06-26,2022-06-29,42,90,Price Drop,In-Store,0.18,1.21
307,2021-10-01,2021-10-03,28,72,Festive Mega Sale,In-Store,0.24,2.19
308,2023-06-29,2023-07-03,10,55,Weekend Saver,WhatsApp,0.06,2.18
309,2024-06-27,2024-07-05,6,78,Weekend Saver,In-Store,0.23,1.67
310,2025-10-26,2025-11-01,21,100,Weekend Saver,In-Store,0.33,2.13
311,2025-09-15,2025-09-22,36,25,Weekend Saver,Flyer,0.06,1.52
312,2022-08-05,2022-08-08,13,98,Category Discount,App Notification,0.31,1.57
313,2023-03-29,2023-04-03,44,13,Price Drop,In-Store,0.2,1.86
314,2022-10-25,2022-11-01,39,18,Price Drop,In-Store,0.12,1.39
315,2024-02-07,2024-02-15,20,62,Festive Mega Sale,In-Store,0.24,1.56
316,2022-04-22,2022-04-29,7,91,Buy X Get Y,In-Store,0.11,1.95
317,2025-07-21,2025-07-23,25,6,Festive Mega Sale,In-Store,0.32,1.28
318,2023-09-23,2023-09-30,28,83,Price Drop,In-Store,0.18,1.5
319,2025-07-03,2025-07-09,20,49,Weekend Saver,In-Store,0.32,1.42
320,2024-12-27,2025-01-04,24,12,Price Drop,WhatsApp,0.2,1.24
321,2021-06-24,2021-06-28,44,55,Category Discount,In-Store,0.11,2.02
322,2024-05-04,2024-05-07,40,9,Clearance,WhatsApp,0.15,1.21
323,2021-03-10,2021-03-16,30,90,Combo Offer,Flyer,0.33,1.13
324,2024-04-08,2024-04-11,1,79,Category Discount,In-Store,0.23,1.16
325,2021-09-28,2021-10-05,6,9,Festive Mega Sale,In-Store,0.05,1.7
326,2023-05-21,2023-05-29,9,100,Category Discount,Billboard,0.17,1.33
327,2024-01-23,2024-01-26,2,41,Weekend Saver,Flyer,0.23,1.21
328,2022-10-24,2022-10-27,14,89,Category Discount,In-Store,0.13,1.79
329,2022-01-03,2022-01-10,34,50,Clearance,In-Store,0.14,1.33
330,2025-08-19,2025-08-22,48,34,Weekend Saver,In-Store,0.06,1.23
331,2023-01-12,2023-01-20,11,73,Price Drop,In-Store,0.33,1.2
332,2023-06-08,2023-06-11,5,4,Combo Offer,WhatsApp,0.12,1.39
333,2021-05-12,2021-05-14,19,98,Buy X Get Y,In-Store,0.33,1.62
334,2022-04-09,2022-04-11,8,47,Category Discount,Flyer,0.24,1.18
335,2024-08-15,2024-08-23,48,13,Category Discount,Billboard,0.29,1.94
336,2023-09-18,2023-09-25,26,82,Festive Mega Sale,In-Store,0.3,1.18
337,2022-10-18,2022-10-26,38,67,Price Drop,In-Store,0.19,1.82
338,2021-12-22,2021-12-24,10,54,Weekend Saver,Flyer,0.27,1.98
339,2021-06-19,2021-06-27,14,3,Price Drop,Flyer,0.2,1.26
340,2025-11-11,2025-11-14,47,31,Combo Offer,Flyer,0.28,1.67
341,2025-08-20,2025-08-27,49,86,Price Drop,WhatsApp,0.07,1.49
342,2023-07-29,2023-08-04,49,11,Clearance,WhatsApp,0.2,1.99
